Date,Open Price,High Price,Low Price,Close Price,Count,war,conflict,united states,FEDFUNDS
2021-03-22,22.48,23.95,20.86,23.07,13922,0.0821917808219178,0.2,0.0612244897959183,0.07
2021-04-05,23.78,26.2,22.3,22.47,11861,0.0958904109589041,0.1,0.0612244897959183,0.07
2021-04-19,22.15,24.26,21.24,23.04,12263,0.0821917808219178,0.2,0.0612244897959183,0.07
2021-05-03,23.01,23.08,17.055,20.08,13955,0.1232876712328767,0.2,0.0612244897959183,0.06
2021-05-17,19.73,24.75,19.63,22.95,13895,0.1232876712328767,0.5000000000000001,0.0612244897959183,0.06
2021-05-31,23.19,25.23,22.36,24.67,13766,0.0958904109589041,0.2,0.0408163265306122,0.06
2021-06-14,24.73,27.01,23.86,26.78,12207,0.0410958904109589,0.1,0.0408163265306122,0.08
2021-06-28,26.98,27.5,22.25,23.29,11625,0.0273972602739726,0.1,0.0408163265306122,0.08
2021-07-12,23.26,23.495,20.55,21.81,11697,0.1917808219178082,0.1,0.0204081632653061,0.1
2021-07-26,21.8,22.85,21.09,21.82,10847,0.0958904109589041,0.1,0.0408163265306122,0.1
2021-08-09,21.85,25.94,21.8,24.01,10700,0.0410958904109589,0.1,0.0612244897959183,0.09
2021-08-23,24.02,26.87,23.9,26.64,9998,0.136986301369863,0.1,0.0408163265306122,0.09
2021-09-06,26.79,29.29,24.96,28.71,10109,0.0410958904109589,0.1,0.0408163265306122,0.08
2021-09-20,27.57,29.19,23.72,24.33,11446,0.0547945205479452,0.2,0.0612244897959183,0.08
2021-10-04,24.01,25.01,23.02,24.0,11870,0.0273972602739726,0.2,0.0612244897959183,0.08
2021-10-18,24.0,26.75,23.92,25.88,11276,0.0136986301369863,0.2,0.0612244897959183,0.08
2021-11-01,26.11,27.11,22.12,22.83,11490,0.0136986301369863,0.2,0.0408163265306122,0.08
2021-11-15,23.0,23.52,20.05,21.03,11025,0.0410958904109589,0.2,0.0408163265306122,0.08
2021-11-29,21.19,21.4,18.075,18.94,11862,0.0,0.1,0.0204081632653061,0.08
2021-12-13,18.8,19.45,17.81,18.93,11520,0.0273972602739726,0.2,0.0612244897959183,0.08
2021-12-27,18.78,19.25,16.055,16.56,10023,0.0273972602739726,0.1,0.0204081632653061,0.08
2022-01-10,16.19,17.46,13.5,13.53,9550,0.0958904109589041,0.1,0.0612244897959183,0.08
2022-01-24,12.79,14.37,11.75,12.94,11517,0.1506849315068493,0.2,0.0612244897959183,0.08
2022-02-07,13.025,14.26,10.57,11.02,12070,0.1643835616438355,0.2,0.0612244897959183,0.08
2022-02-21,10.7,12.52,9.74,10.96,13029,0.2191780821917807,0.4,0.0816326530612244,0.08
2022-03-07,11.43,13.02,10.27,12.82,14036,1.0,0.7000000000000001,0.1020408163265305,0.2
2022-03-21,12.72,14.36,12.42,13.83,13256,0.3698630136986301,0.4,0.0816326530612244,0.2
2022-04-04,14.03,14.86,12.13,12.42,13041,0.3150684931506849,0.3,0.1020408163265305,0.33
2022-04-18,12.35,13.33,10.36,10.4,11897,0.2876712328767123,0.3,0.0816326530612244,0.33
2022-05-02,10.38,11.01,6.44,8.34,12528,0.2739726027397259,0.3,0.1224489795918367,0.77
2022-05-16,8.17,8.85,7.37,8.85,12767,0.2602739726027397,0.3,0.1020408163265305,0.77
2022-05-30,8.97,9.42,8.14,8.26,12261,0.1917808219178082,0.2,0.0816326530612244,0.77
2022-06-13,7.99,10.2,7.5,10.19,12892,0.1643835616438355,0.2,0.0612244897959183,1.21
2022-06-27,10.15,10.38,8.72,10.17,14758,0.1232876712328767,0.2,0.0816326530612244,1.21
2022-07-11,9.98,10.76,8.65,9.84,12966,0.1506849315068493,0.1,0.0816326530612244,1.68
2022-07-25,9.83,11.62,9.38,11.45,12451,0.0958904109589041,0.1,0.0612244897959183,1.68
2022-08-08,9.77,10.4,8.48,8.51,13002,0.136986301369863,0.1,0.0408163265306122,2.33
2022-08-22,8.32,8.43,7.22,7.4,12066,0.0821917808219178,0.1,0.0612244897959183,2.33
2022-09-05,7.45,8.1,7.17,7.78,12404,0.0958904109589041,0.2,0.0816326530612244,2.56
2022-09-19,7.64,8.5,7.13,8.13,13436,0.2328767123287671,0.3,0.0816326530612244,2.56
2022-10-03,8.145,8.61,7.53,7.53,14259,0.1917808219178082,0.3,0.0816326530612244,3.08
2022-10-17,7.71,9.05,7.69,8.64,13293,0.2054794520547945,0.3,0.0816326530612244,3.08
2022-10-31,8.59,9.06,6.89,8.41,13308,0.2191780821917807,0.3,0.0816326530612244,3.08
2022-11-14,8.18,8.47,6.98,7.28,13822,0.547945205479452,0.2,0.183673469387755,3.78
2022-11-28,7.23,7.88,6.88,7.11,13013,0.3287671232876711,0.2,0.0408163265306122,3.78
2022-12-12,7.11,7.97,6.04,6.29,12080,0.2876712328767123,0.3,0.0612244897959183,4.1
2022-12-26,6.15,6.675,5.92,6.4,10480,0.2328767123287671,0.1,0.0612244897959183,4.1
2023-01-09,6.49,7.3,6.4,7.02,10019,0.2328767123287671,0.1,0.0408163265306122,4.33
2023-01-23,7.03,9.21,5.84,8.41,12593,0.2328767123287671,0.2,0.0612244897959183,4.33
2023-02-06,8.31,10.31,7.45,9.2,13410,0.2191780821917807,0.2,0.0816326530612244,4.57
2023-02-20,9.01,9.1,7.56,8.33,12617,0.1917808219178082,0.3,0.0816326530612244,4.57
2023-03-06,8.34,8.58,7.19,7.88,13502,0.2054794520547945,0.3,0.0816326530612244,4.65
2023-03-20,7.765,8.62,7.72,8.45,14395,0.1780821917808219,0.2,0.0816326530612244,4.65
2023-04-03,8.37,8.91,7.79,8.81,13681,0.1643835616438355,0.2,0.183673469387755,4.83
2023-04-17,8.81,9.04,7.62,7.75,12208,0.1506849315068493,0.2,0.0816326530612244,4.83
2023-05-01,7.75,10.3,7.28,9.5,12790,0.1917808219178082,0.3,0.0816326530612244,5.06
2023-05-15,9.21,14.195,9.02,13.65,13528,0.1643835616438355,0.2,0.0612244897959183,5.06
2023-05-29,14.44,17.16,13.82,15.02,12378,0.136986301369863,0.2,0.0408163265306122,5.06
2023-06-12,15.44,16.91,13.56,14.03,13238,0.1095890410958904,0.2,0.0408163265306122,5.08
2023-06-26,13.87,15.9,13.83,15.34,13325,0.1095890410958904,0.1,0.0816326530612244,5.08
2023-07-10,15.37,18.995,14.945,16.43,12985,0.0958904109589041,0.1,0.0408163265306122,5.12
2023-07-24,16.61,20.2399,16.0,18.2,12845,0.0821917808219178,0.1,0.0408163265306122,5.12
2023-08-07,18.25,18.39,13.68,14.4,12526,0.0958904109589041,0.1,0.0408163265306122,5.33
2023-08-21,14.42,16.35,13.875,15.18,12471,0.0684931506849315,0.1,0.0408163265306122,5.33
2023-09-04,15.08,16.15,14.29,15.33,13540,0.0958904109589041,0.2,0.0408163265306122,5.33
2023-09-18,15.18,16.81,13.68,16.0,13290,0.0821917808219178,0.2,0.0612244897959183,5.33
2023-10-02,16.03,18.44,14.82,17.36,13350,0.1095890410958904,0.2,0.0612244897959183,5.33
2023-10-16,17.21,18.22,14.96,15.07,15829,0.5890410958904109,1.0,0.0816326530612244,5.33
2023-10-30,15.27,19.72,14.48,19.67,16712,0.2602739726027397,0.4,0.0816326530612244,5.33
2023-11-13,19.59,21.85,18.93,19.2,15522,0.2191780821917807,0.3,0.0816326530612244,5.33
2023-11-27,19.13,20.31,17.05,17.77,14650,0.136986301369863,0.2,0.0204081632653061,5.33
2023-12-11,17.97,19.15,17.19,17.41,13590,0.1917808219178082,0.3,0.0816326530612244,5.33
2023-12-25,17.44,17.91,15.664,15.98,13488,0.1780821917808219,0.2,0.0408163265306122,5.33
2024-01-08,16.22,17.06,16.05,16.78,12460,0.2054794520547945,0.1,0.0408163265306122,5.33
2024-01-22,17.46,18.3503,16.03,17.02,14263,0.1917808219178082,0.2,0.0612244897959183,5.33
2024-02-05,17.56,25.525,16.48,24.44,15138,0.2191780821917807,0.3,0.1020408163265305,5.33
2024-02-19,23.84,25.69,22.29,24.93,15763,0.1917808219178082,0.2,0.0816326530612244,5.33
2024-03-04,24.4,27.5,23.42,23.49,15168,0.2191780821917807,0.3,0.1020408163265305,5.33
2024-03-18,23.77,25.48,22.92,23.01,14731,0.1643835616438355,0.2,0.0816326530612244,5.33
